Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
38,Ronny Cedeno\cedenro02,2013-03-24,Houston Astros,NYM,30,2.0,8,779,2292,241,565,37,218,34,132,.247,.290,.357,.647,,,,,,,,,,,,
39,Endy Chavez\chaveen01,2013-03-24,Seattle Mariners,BAL,35,0.2,11,974,2651,341,714,26,229,100,156,.269,.309,.367,.676,,,,,,,,,,,,
40,Yoshinori Tateyama\tateyyo01,2013-03-23,Texas Rangers,TEX,37,-0.4,2,4,0,0,0,0,0,0,0,,,,,3,0,5.75,1.180,53,0,1,61.0,55,12,17,61
41,Wilson Valdez\valdewi01,2013-03-23,Miami Marlins,CIN,35,-1.4,7,439,1142,131,270,6,107,17,69,.236,.281,.313,.594,,,,,,,,,,,,
42,Chien-Ming Wang\wangch01,2013-03-22,New York Yankees,WSN,33,-0.8,7,26,39,2,2,0,1,0,2,.051,.098,.077,.174,61,32,4.26,1.363,130,120,1,765.1,818,54,225,350
43,Ben Francisco\francbe01,2013-03-11,New York Yankees,TBR,31,-1.4,6,542,1535,195,395,49,189,30,141,.257,.326,.425,.751,,,,,,,,,,,,
44,Chris Bootcheck\bootcch01,2013-03-10,New York Yankees,DET,34,,6,15,2,0,0,0,0,0,0,.000,.000,.000,.000,3,7,6.54,1.643,90,3,1,147.1,178,19,64,105
45,Brian Esposito\esposbr01,2013-03-06,Pittsburgh Pirates,CHC,34,-0.1,5,,,,,,,,,,,,,,,,,,,,,,,,
46,Derek Lowe\lowede01,2013-03-06,Texas Rangers,NYY,40,1.8,16,256,436,30,65,1,25,1,29,.149,.201,.186,.387,175,157,4.00,1.329,672,377,86,2658.1,2743,214,791,1714
47,Jason Michaels\michaja01,2013-03-04,Washington Nationals,WSN,37,0.4,11,,,,,,,,,,,,,,,,,,,,,,,,
48,Munenori Kawasaki\kawasmu01,2013-03-02,Toronto Blue Jays,SEA,32,-0.4,1,61,104,13,20,0,7,2,8,.192,.257,.202,.459,,,,,,,,,,,,
49,Ryan Rohlinger\rohliry01,2013-02-25,Cleveland Indians,CLE,29,-0.3,4,,,,,,,,,,,,,,,,,,,,,,,,
50,Ryan Rowland-Smith\rowlary01,2013-02-24,Boston Red Sox,CHC,30,-2.7,4,6,4,0,0,0,0,0,0,.000,.000,.000,.000,12,17,4.57,1.420,115,47,2,362.2,381,51,134,220
51,Jack Cust\custja01,2013-02-16,Tampa Bay Rays,TOR,34,2.4,11,,,,,,,,,,,,,,,,,,,,,,,,
52,Michael Bourn\bournmi01,2013-02-15,Cleveland Indians,ATL,30,14.4,7,871,3015,459,820,22,215,276,296,.272,.339,.365,.704,,,,,,,,,,,,
53,Jair Jurrjens\jurrjja01,2013-02-15,Baltimore Orioles,ATL,27,1.5,6,124,222,17,25,0,7,0,18,.113,.183,.135,.318,53,37,3.62,1.321,126,125,0,750.2,732,65,260,499
54,Casey Kotchman\kotchca01,2013-02-15,Miami Marlins,CLE,30,1.9,9,933,3051,322,799,71,387,14,266,.262,.328,.388,.715,,,,,,,,,,,,
55,Matt Maloney\malonma02,2013-02-15,Boston Red Sox,MIN,29,-0.5,4,22,19,1,4,0,0,0,1,.211,.250,.211,.461,5,9,5.74,1.473,31,11,0,91.0,116,20,18,59
56,Justin Hampson\hampsju01,2013-02-14,New York Mets,NYM,33,0.1,4,88,9,2,0,0,0,0,1,.000,.100,.000,.100,5,4,3.23,1.321,92,1,0,106.0,104,5,36,66
57,Michael Crotta\crottmi01,2013-02-13,Washington Nationals,PIT,28,-0.6,1,,,,,,,,,,,,,,,,,,,,,,,,
58,Brandon Inge\ingebr01,2013-02-13,Pittsburgh Pirates,OAK,36,1.9,12,1482,4909,558,1147,151,641,45,441,.234,.303,.387,.690,,,,,,,,,,,,
59,Joe Saunders\saundjo01,2013-02-12,Seattle Mariners,BAL,32,2.9,8,65,123,3,17,0,6,1,6,.138,.177,.146,.323,78,65,4.15,1.369,189,189,0,1161.1,1236,145,354,662
60,Rod Barajas\barajro01,2013-02-11,Arizona Diamondbacks,PIT,37,1.1,14,1114,3460,396,812,136,480,2,207,.235,.284,.407,.691,,,,,,,,,,,,
61,Nick Green\greenni01,2013-02-11,Miami Marlins,MIA,34,-0.3,7,399,1023,143,241,16,97,6,77,.236,.303,.347,.650,,,,,,,,,,,,
62,Clay Hensley\henslcl01,2013-02-11,Cincinnati Reds,SFG,33,1.2,7,265,87,2,8,0,4,1,4,.092,.132,.115,.247,28,34,4.00,1.373,271,49,10,517.0,471,39,239,371
63,Chad Huffman\huffmch01,2013-02-11,St. Louis Cardinals,CLE,28,0.0,1,9,18,1,3,0,2,0,2,.167,.286,.167,.452,,,,,,,,,,,,
64,Zach Jackson\jacksza01,2013-02-11,Kansas City Royals,TEX,30,,6,,,,,,,,,,,,,,,,,,,,,,,,
65,Will Ohman\ohmanwi01,2013-02-11,Washington Nationals,CIN,35,1.0,10,342,5,0,2,0,1,0,1,.400,.500,.400,.900,12,16,4.28,1.363,483,0,3,353.0,322,42,159,336
66,Kevin Gregg\greggke01,2013-02-10,Los Angeles Dodgers,BAL,35,0.8,10,224,6,0,0,0,0,0,0,.000,.000,.000,.000,28,38,4.13,1.383,509,8,144,638.2,596,67,287,585
67,Scott Hairston\hairssc01,2013-02-10,Chicago Cubs,NYM,33,3.2,9,777,2197,276,543,95,279,34,162,.247,.302,.449,.751,,,,,,,,,,,,
68,Jason Giambi\giambja01,2013-02-09,Cleveland Indians,COL,42,0.6,18,2163,7021,1203,1968,429,1405,20,1334,.280,.403,.522,.926,,,,,,,,,,,,
69,Chone Figgins\figgich01,2013-02-08,Miami Marlins,SEA,35,-0.9,11,1244,4641,700,1285,35,402,337,526,.277,.349,.364,.713,,,,,,,,,,,,
70,Francisco Liriano\liriafr01,2013-02-08,Pittsburgh Pirates,CHW,29,4.8,7,10,17,0,2,0,2,0,2,.118,.211,.118,.328,53,54,4.40,1.354,168,141,1,840.0,781,83,356,846
71,Brandon Lyon\lyonbr01,2013-02-08,New York Mets,TOR,33,1.6,11,364,1,1,1,0,1,0,1,1.000,1.000,2.000,3.000,40,45,4.12,1.368,535,21,79,647.0,678,66,207,442
72,Rich Hill\hillri01,2013-02-07,Cleveland Indians,BOS,33,1.4,8,66,114,1,14,0,6,0,2,.123,.138,.149,.287,23,20,4.59,1.349,118,70,0,427.0,384,55,192,391
73,Kyle Hudson\hudsoky01,2013-02-07,Baltimore Orioles,PHI,26,-0.4,1,,,,,,,,,,,,,,,,,,,,,,,,
74,Kelly Shoppach\shoppke01,2013-02-07,Seattle Mariners,NYM,33,2.3,8,536,1507,197,340,67,207,1,143,.226,.314,.418,.732,,,,,,,,,,,,
75,Roman Colon\colonro01,2013-02-06,Pittsburgh Pirates,KCR,33,-0.3,6,46,8,0,0,0,0,0,0,.000,.000,.000,.000,8,10,5.19,1.511,124,8,1,187.1,213,30,70,120
76,Alex Gonzalez\gonzaal02,2013-02-06,Milwaukee Brewers,MIL,36,6.7,14,1559,5633,649,1393,156,680,30,295,.247,.292,.399,.691,,,,,,,,,,,,
77,Micah Owings\owingmi01,2013-02-06,Washington Nationals,SDP,30,0.3,6,174,205,27,58,9,35,0,8,.283,.310,.502,.813,32,33,4.86,1.400,138,68,1,483.0,468,64,208,347
78,Jonathan Sanchez\sanchjo01,2013-02-06,Pittsburgh Pirates,COL,30,1.6,7,170,195,9,23,0,9,0,7,.118,.157,.159,.316,39,55,4.58,1.447,189,133,0,772.2,689,84,429,781
79,Luke Scott\scottlu01,2013-02-06,Tampa Bay Rays,TBR,35,4.3,8,798,2557,343,664,126,396,16,304,.260,.341,.487,.828,,,,,,,,,,,,
80,Kanekoa Texeira\texeika01,2013-02-06,Cincinnati Reds,CIN,27,0.2,2,,,,,,,,,,,,,,,,,,,,,,,,
81,Sean White\whitese02,2013-02-06,Los Angeles Dodgers,LAA,32,-0.3,5,,,,,,,,,,,,,,,,,,,,,,,,
82,Jeremy Accardo\accarje01,2013-02-05,Washington Nationals,OAK,31,-0.4,8,75,7,0,1,0,0,0,0,.143,.143,.143,.286,10,20,4.30,1.402,262,0,38,284.2,288,24,111,205
83,Brett Carroll\carrobr01,2013-02-05,Pittsburgh Pirates,WSN,30,-0.1,6,180,288,48,58,5,28,2,21,.201,.280,.319,.599,,,,,,,,,,,,
84,Kyle Farnsworth\farnsky01,2013-02-05,Tampa Bay Rays,TBR,37,2.8,14,409,54,3,4,0,3,0,2,.074,.121,.093,.213,40,62,4.24,1.363,810,26,52,921.2,869,125,387,917
85,Kelly Johnson\johnske05,2013-02-05,Tampa Bay Rays,TOR,31,7.8,7,933,3298,499,840,108,390,72,404,.255,.338,.429,.767,,,,,,,,,,,,
86,Jon Rauch\rauchjo01,2013-02-05,Miami Marlins,NYM,34,1.4,10,385,21,2,2,1,3,0,0,.095,.095,.238,.333,42,38,3.80,1.224,541,11,62,578.1,536,69,172,460
87,Omir Santos\santoom01,2013-02-05,Cleveland Indians,COL,32,-0.3,4,121,321,29,80,7,41,0,15,.249,.281,.364,.646,,,,,,,,,,,,
88,Doug Bernier\bernido01,2013-02-01,Minnesota Twins,NYY,33,,1,2,4,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,,,
89,Travis Hafner\hafnetr01,2013-02-01,New York Yankees,CLE,36,4.7,11,1101,3796,588,1054,201,694,9,566,.278,.381,.507,.888,,,,,,,,,,,,
90,Manny Parra\parrama01,2013-02-01,Cincinnati Reds,MIL,30,-1.4,5,164,142,9,26,0,13,0,6,.183,.225,.275,.500,26,33,5.12,1.645,172,74,0,513.0,582,59,262,479
91,Joel Pineiro\pineijo01,2013-02-01,Baltimore Orioles,BAL,34,1.4,12,,,,,,,,,,,,,,,,,,,,,,,,
92,Antoan Richardson\richaan01,2013-02-01,Minnesota Twins,BAL,29,0.1,1,9,4,2,2,0,0,1,0,.500,.500,.500,1.000,,,,,,,,,,,,
93,Matt Tolbert\tolbema01,2013-02-01,Philadelphia Phillies,CHC,31,0.3,4,,,,,,,,,,,,,,,,,,,,,,,,
94,LaTroy Hawkins\hawkila01,2013-01-31,New York Mets,LAA,40,0.3,18,382,6,0,0,0,0,0,0,.000,.000,.000,.000,65,88,4.45,1.431,871,98,88,1303.2,1440,150,426,862
95,Andy LaRoche\larocan01,2013-01-30,Toronto Blue Jays,BOS,29,-1.5,5,403,1180,133,267,22,113,8,121,.226,.305,.337,.642,,,,,,,,,,,,
96,Shaun Marcum\marcush01,2013-01-30,New York Mets,MIL,31,8.6,7,59,107,6,14,1,8,0,9,.131,.205,.196,.401,57,36,3.76,1.224,174,149,1,916.2,840,124,282,746
97,Mike Wilson\wilsomi02,2013-01-30,New York Mets,SEA,30,-0.3,1,,,,,,,,,,,,,,,,,,,,,,,,
98,Scott Atchison\atchisc01,2013-01-29,New York Mets,BOS,37,1.8,6,27,2,0,0,0,0,0,0,.000,.000,.000,.000,7,7,3.48,1.231,155,1,1,209.2,199,21,59,164
99,Chad Durbin\durbich01,2013-01-29,Philadelphia Phillies,ATL,35,0.4,13,272,24,0,2,0,1,0,0,.083,.080,.083,.163,42,47,4.95,1.498,440,75,5,820.1,873,119,356,561
100,Tim Stauffer\staufti01,2013-01-29,San Diego Padres,SDP,31,3.4,7,94,125,7,20,0,12,0,4,.160,.191,.184,.375,23,31,3.94,1.322,96,70,0,441.0,433,47,150,304
101,Kyle Waldrop\waldrky01,2013-01-29,Pittsburgh Pirates,MIN,27,0.5,2,0,0,0,0,0,0,0,0,,,,,1,1,3.62,1.515,24,0,0,32.1,37,3,12,12
102,Robert Coello\coellro01,2013-01-28,Los Angeles Angels of Anaheim,TOR,28,-0.3,2,4,0,0,0,0,0,0,0,,,,,0,1,9.00,1.917,12,0,0,12.0,14,2,9,16
103,Manny Delcarmen\delcama01,2013-01-28,Baltimore Orioles,NYY,31,-0.1,7,,,,,,,,,,,,,,,,,,,,,,,,
104,Carlos Fisher\fisheca01,2013-01-28,Oakland Athletics,CIN,30,-0.6,3,,,,,,,,,,,,,,,,,,,,,,,,
105,Matt Mangini\mangima01,2013-01-28,Cincinnati Reds,ARI,27,-0.2,2,,,,,,,,,,,,,,,,,,,,,,,,
106,Chris Pettit\pettich01,2013-01-28,Baltimore Orioles,COL,28,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,
107,Juan Rivera\riverju01,2013-01-28,New York Yankees,LAD,34,-0.9,12,1058,3471,425,950,132,539,17,253,.274,.323,.443,.766,,,,,,,,,,,,
108,Jeff Baker\bakerje03,2013-01-26,Texas Rangers,ATL,32,-0.6,8,543,1359,185,361,37,178,12,100,.266,.316,.428,.744,,,,,,,,,,,,
109,Greg Golson\golsogr01,2013-01-26,Colorado Rockies,CHW,27,-0.3,4,,,,,,,,,,,,,,,,,,,,,,,,
110,Nate Robertson\roberna01,2013-01-26,Texas Rangers,TOR,35,-0.9,10,,,,,,,,,,,,,,,,,,,,,,,,
111,Carlos Villanueva\villaca01,2013-01-26,Chicago Cubs,TOR,29,3.2,7,222,66,4,6,0,3,0,3,.091,.130,.091,.221,33,35,4.26,1.295,301,56,6,657.1,622,96,229,571
112,Matt Lindstrom\lindsma01,2013-01-25,Chicago White Sox,ARI,33,2.2,6,314,1,0,0,0,0,0,0,.000,.000,.000,.000,13,15,3.64,1.414,358,0,45,326.0,342,18,119,263
113,Chad Qualls\quallch01,2013-01-25,Miami Marlins,PIT,34,-3.3,9,537,6,0,0,0,0,0,0,.000,.000,.000,.000,40,35,3.92,1.287,597,0,51,595.1,602,60,164,453
114,Pedro Viola\violape01,2013-01-25,Oakland Athletics,BAL,30,-0.2,3,,,,,,,,,,,,,,,,,,,,,,,,
115,Andrew Brackman\brackan01,2013-01-24,Chicago White Sox,CIN,27,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,
116,Jerad Head\headje01,2013-01-24,Washington Nationals,DET,30,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
117,Dan Johnson\johnsda06,2013-01-24,New York Yankees,CHW,33,-0.1,7,413,1320,170,313,56,194,1,205,.237,.338,.412,.750,,,,,,,,,,,,
118,Ronny Paulino\pauliro01,2013-01-24,Seattle Mariners,BAL,32,0.2,8,573,1867,181,508,33,216,4,145,.272,.324,.376,.700,,,,,,,,,,,,
119,Yorvit Torrealba\torreyo01,2013-01-24,Colorado Rockies,MIL,34,2.0,12,846,2696,296,694,56,323,19,209,.257,.316,.386,.702,,,,,,,,,,,,
120,Matt Downs\downsma01,2013-01-23,Miami Marlins,HOU,29,0.8,4,254,527,58,121,20,66,3,40,.230,.296,.406,.702,,,,,,,,,,,,
121,Joe Mather\mathejo02,2013-01-23,Philadelphia Phillies,CHC,30,-3.1,4,229,493,49,108,14,49,7,34,.219,.271,.357,.628,0,1,7.71,2.571,2,0,0,2.1,3,0,3,0
122,Mark DeRosa\derosma01,2013-01-22,Toronto Blue Jays,WSN,38,-1.2,15,1153,3429,515,927,93,458,23,330,.270,.340,.412,.752,,,,,,,,,,,,
123,Shelley Duncan\duncash01,2013-01-22,Tampa Bay Rays,CLE,33,1.3,6,310,830,111,190,41,138,2,88,.229,.306,.427,.732,,,,,,,,,,,,
124,Ryan Garko\garkory01,2013-01-22,Colorado Rockies,TBR,32,-0.8,7,,,,,,,,,,,,,,,,,,,,,,,,
125,Mike Napoli\napolmi01,2013-01-22,Boston Red Sox,TEX,31,9.3,7,727,2270,371,587,146,380,26,315,.259,.356,.507,.863,,,,,,,,,,,,
126,Juan Carlos Oviedo\nunezle01,2013-01-22,Tampa Bay Rays,MIA,31,1.5,7,207,1,0,0,0,0,0,0,.000,.000,.000,.000,18,20,4.34,1.322,317,6,92,357.0,355,47,117,288
127,Jamey Wright\wrighja01,2013-01-22,Tampa Bay Rays,LAD,38,0.7,17,323,438,26,64,1,17,0,12,.146,.169,.192,.361,90,124,4.89,1.562,592,246,1,1896.1,2035,193,928,1070
128,Delmon Young\youngde03,2013-01-22,Philadelphia Phillies,DET,27,0.8,7,880,3358,396,955,89,482,34,145,.284,.317,.425,.742,,,,,,,,,,,,
129,Chris Volstad\volstch01,2013-01-20,Colorado Rockies,KCR,26,0.0,5,119,201,11,28,0,7,0,2,.139,.148,.169,.317,35,51,4.87,1.442,124,123,0,695.1,756,88,247,439
130,Sean Kazmar Jr.\kazmase01,2013-01-19,Atlanta Braves,NYM,28,,4,,,,,,,,,,,,,,,,,,,,,,,,
131,Kyle McClellan\mccleky01,2013-01-19,Texas Rangers,STL,29,2.1,5,252,46,3,6,0,4,0,1,.130,.149,.152,.301,19,23,3.69,1.288,261,17,6,378.0,352,43,135,257
132,Ryan Raburn\raburry01,2013-01-19,Cleveland Indians,DET,32,0.0,7,566,1573,223,403,54,216,16,113,.256,.311,.430,.740,,,,,,,,,,,,
133,Robinzon Diaz\diazro01,2013-01-18,Milwaukee Brewers,TEX,29,,4,,,,,,,,,,,,,,,,,,,,,,,,
134,Tug Hulett\hulettu01,2013-01-18,Miami Marlins,PHI,30,,4,,,,,,,,,,,,,,,,,,,,,,,,
135,Landon Powell\powella01,2013-01-18,New York Mets,HOU,31,-0.4,3,,,,,,,,,,,,,,,,,,,,,,,,
136,Jeff Karstens\karstje01,2013-01-17,Pittsburgh Pirates,PIT,30,3.9,7,117,145,10,13,0,4,0,8,.090,.143,.097,.239,26,40,4.44,1.332,138,91,0,592.1,636,80,153,330
137,Todd Linden\lindeto01,2013-01-17,San Francisco Giants,SFG,33,,9,,,,,,,,,,,,,,,,,,,,,,,,
138,Chad Reineke\reinech01,2013-01-17,Cincinnati Reds,CIN,31,-0.3,4,,,,,,,,,,,,,,,,,,,,,,,,
139,Rafael Soriano\soriara01,2013-01-17,Washington Nationals,NYY,33,5.0,11,183,4,0,0,0,0,0,0,.000,.000,.000,.000,15,24,2.78,1.046,453,8,132,502.0,365,49,160,527
140,Don Kelly\kellydo01,2013-01-16,Detroit Tigers,DET,33,1.8,5,362,691,89,160,17,65,8,43,.232,.283,.344,.628,,,,,,,,,,,,
141,Peter Moylan\moylape01,2013-01-16,Los Angeles Dodgers,ATL,34,1.0,7,287,7,0,0,0,0,0,1,.000,.125,.000,.125,20,9,2.59,1.285,295,0,4,260.2,221,14,114,207
142,Jesus Flores\floreje02,2013-01-15,Los Angeles Dodgers,WSN,28,-0.8,5,311,937,84,226,23,127,1,58,.241,.289,.375,.663,,,,,,,,,,,,
143,Jarrett Hoffpauir\hoffpja01,2013-01-15,Toronto Blue Jays,WSN,30,0.2,3,,,,,,,,,,,,,,,,,,,,,,,,
144,Adam Loewen\loewead01,2013-01-15,Toronto Blue Jays,NYM,29,-0.2,4,15,34,4,6,1,4,0,3,.176,.282,.294,.576,8,8,5.38,1.640,35,29,0,164.0,163,14,106,134
145,Rich Rundles\rundlri01,2013-01-15,Baltimore Orioles,BAL,32,,4,,,,,,,,,,,,,,,,,,,,,,,,
146,Kevin Slowey\sloweke01,2013-01-15,Miami Marlins,CLE,29,0.5,5,10,13,1,2,0,2,0,0,.154,.154,.231,.385,39,29,4.66,1.295,100,90,0,532.2,606,84,84,395
147,Brian Sweeney\sweenbr01,2013-01-15,Seattle Mariners,SEA,39,0.3,9,,,,,,,,,,,,,,,,,,,,,,,,
148,Austin Kearns\kearnau01,2013-01-13,Miami Marlins,MIA,33,0.7,11,1106,3579,519,909,121,494,33,471,.254,.351,.415,.766,,,,,,,,,,,,
149,Fernando Cabrera\cabrefe01,2013-01-12,Los Angeles Angels of Anaheim,NYM,31,-0.4,8,,,,,,,,,,,,,,,,,,,,,,,,
150,Rodrigo Lopez\lopezro02,2013-01-12,Philadelphia Phillies,CHC,37,-1.7,11,91,145,4,9,0,1,0,3,.062,.087,.062,.149,81,89,4.82,1.423,257,215,0,1350.2,1506,202,416,865
151,Henry Blanco\blanche01,2013-01-11,Toronto Blue Jays,ARI,41,0.8,15,921,2627,263,596,69,284,6,240,.227,.291,.367,.658,,,,,,,,,,,,
152,Miguel Perez\perezmi02,2013-01-11,Pittsburgh Pirates,PIT,29,,7,,,,,,,,,,,,,,,,,,,,,,,,
153,Brent Lillibridge\lillibr01,2013-01-10,Chicago Cubs,CLE,29,0.4,5,338,649,100,138,19,66,36,48,.213,.278,.350,.628,,,,,,,,,,,,
154,Darnell McDonald\mcdonda02,2013-01-10,Chicago Cubs,NYY,34,1.3,6,306,711,98,175,19,78,14,64,.246,.312,.394,.705,0,1,22.50,3.500,2,0,0,2.0,3,1,4,0
155,Pat Misch\mischpa01,2013-01-10,Detroit Tigers,PHI,31,-0.3,6,,,,,,,,,,,,,,,,,,,,,,,,
