Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
1,Hung-Chih Kuo\kuoho01,2012-06-04,Chicago Cubs,LAD,30,2.2,7,207,27,3,5,1,1,0,1,.185,.214,.370,.585,13,17,3.73,1.214,218,14,13,292.1,228,18,127,345
2,Ross Ohlendorf\ohlenro01,2012-06-04,San Diego Padres,PIT,29,2.2,5,63,106,3,9,1,4,0,3,.085,.110,.113,.223,14,28,4.77,1.444,95,64,0,392.2,422,57,145,273
3,Koyie Hill\hillko01,2012-05-19,Chicago Cubs,CHC,33,-0.3,8,302,833,75,176,8,75,3,74,.211,.275,.298,.573,,,,,,,,,,,,
4,Ryan Spilborghs\spilbry01,2012-05-04,Texas Rangers,COL,32,-1.9,7,619,1561,222,424,42,218,31,172,.272,.345,.423,.768,,,,,,,,,,,,
5,Jordan Brown\brownjo05,2012-05-01,Milwaukee Brewers,MIL,28,0.0,1,26,87,9,20,0,2,0,4,.230,.272,.310,.582,,,,,,,,,,,,
6,Jeff Larish\larisje01,2012-04-30,Boston Red Sox,PHI,29,-0.2,3,,,,,,,,,,,,,,,,,,,,,,,,
7,Ross Wolf\wolfro01,2012-04-27,Texas Rangers,HOU,29,0.0,2,14,1,0,0,0,0,0,0,.000,.000,.000,.000,0,1,7.92,1.800,25,0,0,25.0,36,5,9,15
8,Zach Miner\minerza01,2012-04-20,Detroit Tigers,KCR,30,0.4,4,11,7,1,1,0,0,0,0,.143,.143,.286,.429,25,20,4.24,1.457,157,35,1,357.0,375,35,145,217
9,Brent Clevlen\clevlbr01,2012-04-18,Arizona Diamondbacks,PHI,28,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,
10,Johnny Damon\damonjo01,2012-04-17,Cleveland Indians,TBR,38,9.6,17,2426,9529,1643,2723,231,1120,404,986,.286,.353,.435,.789,,,,,,,,,,,,
11,Nelson Figueroa\figuene01,2012-04-17,New York Yankees,PIT,38,1.1,9,141,116,7,20,0,8,0,5,.172,.207,.207,.414,20,35,4.55,1.459,145,65,1,499.0,525,66,203,337
12,Joel Pineiro\pineijo01,2012-04-11,Baltimore Orioles,LAA,33,3.9,12,92,167,13,17,0,10,1,11,.102,.157,.138,.295,104,93,4.41,1.348,335,263,2,1754.1,1878,193,487,1058
13,Mitch Stetter\stettmi01,2012-04-11,Milwaukee Brewers,MIL,31,0.1,5,125,1,0,0,0,0,0,0,.000,.000,.000,.000,8,2,4.08,1.395,132,0,1,86.0,68,9,52,89
14,Brad Hawpe\hawpebr01,2012-04-06,Texas Rangers,SDP,33,0.6,8,893,2907,398,801,124,490,13,425,.276,.368,.480,.848,,,,,,,,,,,,
15,Aaron Heilman\heilmaa01,2012-04-04,Texas Rangers,PIT,33,-0.3,9,456,47,1,1,0,1,0,2,.021,.061,.021,.083,35,46,4.40,1.362,477,25,16,630.0,602,72,256,548
16,Ramon Ortiz\ortizra02,2012-04-04,New York Yankees,CHC,39,-0.8,11,124,143,8,11,1,4,0,5,.077,.108,.112,.220,86,84,4.93,1.420,296,214,0,1423.0,1532,228,489,887
17,Chad Durbin\durbich01,2012-04-03,Atlanta Braves,CLE,34,0.0,12,201,24,0,2,0,1,0,0,.083,.080,.083,.163,38,46,5.10,1.513,364,75,4,759.1,821,110,328,512
18,Edgar Gonzalez\gonzaed01,2012-04-02,Colorado Rockies,COL,29,0.1,8,81,63,1,11,0,2,0,0,.175,.188,.190,.378,14,25,5.90,1.569,107,41,0,325.0,396,56,114,208
19,Jason Michaels\michaja01,2012-04-02,Washington Nationals,HOU,36,0.0,11,1031,2332,332,613,59,299,22,243,.263,.335,.407,.742,,,,,,,,,,,,
20,Jason Bulger\bulgeja01,2012-04-01,New York Yankees,LAA,33,0.9,7,18,0,0,0,0,0,0,0,,,,,7,2,4.33,1.406,125,0,1,133.0,112,16,75,138
21,Andres Blanco\blancan01,2012-03-31,Philadelphia Phillies,TEX,28,0.4,6,235,591,65,151,3,47,1,33,.255,.301,.333,.634,,,,,,,,,,,,
22,Conor Jackson\jacksco01,2012-03-31,Chicago White Sox,BOS,30,-0.5,7,658,2184,291,591,52,295,27,252,.271,.351,.407,.757,,,,,,,,,,,,
23,Joe Thurston\thursjo01,2012-03-31,Philadelphia Phillies,FLA,32,-0.1,7,184,337,34,76,1,27,5,35,.226,.305,.323,.629,,,,,,,,,,,,
24,Livan Hernandez\hernali01,2012-03-30,Atlanta Braves,WSN,37,2.9,16,447,969,64,215,10,85,0,9,.222,.231,.296,.528,174,176,4.39,1.439,475,474,0,3121.2,3441,347,1050,1928
25,Ryota Igarashi\igarary01,2012-03-30,Toronto Blue Jays,NYM,33,-1.0,2,77,0,0,0,0,0,0,0,,,,,5,2,5.74,1.710,79,0,0,69.0,72,6,46,67
26,Zach Duke\dukeza01,2012-03-29,Washington Nationals,ARI,29,1.3,7,181,313,17,55,2,23,0,12,.176,.205,.217,.422,48,74,4.56,1.490,181,168,1,1041.0,1269,107,282,537
27,Jason Jaramillo\jaramja01,2012-03-29,Milwaukee Brewers,PIT,29,-0.8,3,119,336,23,79,4,38,2,27,.235,.293,.327,.621,,,,,,,,,,,,
28,Steve Pearce\pearcst01,2012-03-29,New York Yankees,PIT,29,-0.3,5,185,465,50,108,9,52,5,45,.232,.302,.366,.668,,,,,,,,,,,,
29,Shawn Camp\campsh01,2012-03-26,Chicago Cubs,TOR,36,2.6,8,24,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,25,26,4.40,1.450,432,0,10,488.1,562,50,146,335
30,Chris Young\youngch03,2012-03-26,New York Mets,NYM,33,2.1,8,98,170,10,25,1,12,0,9,.147,.193,.200,.393,49,34,3.74,1.202,139,139,0,775.2,626,93,306,675
31,Greg Golson\golsogr01,2012-03-25,Chicago White Sox,NYY,26,-0.4,4,40,41,6,8,0,2,2,1,.195,.214,.244,.458,,,,,,,,,,,,
32,Justin Hampson\hampsju01,2012-03-25,New York Mets,NYM,32,,3,75,8,2,0,0,0,0,1,.000,.111,.000,.111,5,4,3.38,1.344,79,1,0,96.0,98,5,31,62
33,Dontrelle Willis\willido03,2012-03-20,Baltimore Orioles,CIN,30,-0.4,9,198,389,43,95,9,39,0,22,.244,.287,.378,.665,72,69,4.17,1.433,205,202,0,1221.2,1251,114,500,896
34,Xavier Nady\nadyxa01,2012-03-18,Washington Nationals,ARI,33,-1.4,10,880,2780,349,764,97,393,18,171,.275,.328,.438,.766,,,,,,,,,,,,
35,Oswaldo Navarro\navaros01,2012-03-17,New York Mets,HOU,27,-0.1,5,,,,,,,,,,,,,,,,,,,,,,,,
36,Josh Barfield\barfijo02,2012-03-15,Baltimore Orioles,PHI,29,0.1,5,,,,,,,,,,,,,,,,,,,,,,,,
37,Ruben Gotay\gotayru01,2012-03-08,Toronto Blue Jays,ATL,29,,7,,,,,,,,,,,,,,,,,,,,,,,,
38,Terry Evans\evanste01,2012-03-06,Kansas City Royals,PHI,30,-0.1,4,,,,,,,,,,,,,,,,,,,,,,,,
39,Jon Meloan\meloajo01,2012-03-03,Texas Rangers,OAK,27,0.3,4,,,,,,,,,,,,,,,,,,,,,,,,
40,Billy Buckner\bucknbi02,2012-02-29,Boston Red Sox,COL,28,-1.4,4,27,26,0,6,0,6,0,1,.231,.259,.308,.567,6,11,6.25,1.641,36,21,0,138.1,173,24,54,103
41,Garrett Mock\mockga01,2012-02-29,Boston Red Sox,WSN,29,-1.1,3,,,,,,,,,,,,,,,,,,,,,,,,
42,Royce Ring\ringro01,2012-02-23,Colorado Rockies,BOS,31,-0.2,6,,,,,,,,,,,,,,,,,,,,,,,,
43,David Aardsma\aardsda01,2012-02-22,New York Yankees,SEA,30,2.4,6,68,3,0,0,0,0,0,0,.000,.000,.000,.000,13,15,4.20,1.430,254,0,69,265.2,231,27,149,268
44,Jay Gibbons\gibboja01,2012-02-22,Milwaukee Brewers,LAD,35,-0.7,9,840,2917,364,759,127,427,2,224,.260,.315,.453,.767,,,,,,,,,,,,
