,Rk,Name,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,Date
0,1,Hung-Chih Kuo\kuoho01,Chicago Cubs,LAD,30,2.2,7,207.0,27.0,3.0,5.0,1.0,1.0,0.0,1.0,0.185,0.214,0.37,0.585,13.0,17.0,3.73,1.214,218.0,14.0,13.0,292.1,228.0,18.0,127.0,345.0,2012
1,2,Ross Ohlendorf\ohlenro01,San Diego Padres,PIT,29,2.2,5,63.0,106.0,3.0,9.0,1.0,4.0,0.0,3.0,0.085,0.11,0.113,0.223,14.0,28.0,4.77,1.444,95.0,64.0,0.0,392.2,422.0,57.0,145.0,273.0,2012
2,3,Koyie Hill\hillko01,Chicago Cubs,CHC,33,-0.3,8,302.0,833.0,75.0,176.0,8.0,75.0,3.0,74.0,0.21100000000000002,0.275,0.298,0.573,,,,,,,,,,,,,2012
3,4,Ryan Spilborghs\spilbry01,Texas Rangers,COL,32,-1.9,7,619.0,1561.0,222.0,424.0,42.0,218.0,31.0,172.0,0.272,0.345,0.423,0.768,,,,,,,,,,,,,2012
4,5,Jordan Brown\brownjo05,Milwaukee Brewers,MIL,28,0.0,1,26.0,87.0,9.0,20.0,0.0,2.0,0.0,4.0,0.23,0.272,0.31,0.5820000000000001,,,,,,,,,,,,,2012
5,6,Jeff Larish\larisje01,Boston Red Sox,PHI,29,-0.2,3,,,,,,,,,,,,,,,,,,,,,,,,,2012
6,7,Ross Wolf\wolfro01,Texas Rangers,HOU,29,0.0,2,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.92,1.8,25.0,0.0,0.0,25.0,36.0,5.0,9.0,15.0,2012
7,8,Zach Miner\minerza01,Detroit Tigers,KCR,30,0.4,4,11.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14300000000000002,0.14300000000000002,0.28600000000000003,0.429,25.0,20.0,4.24,1.4569999999999999,157.0,35.0,1.0,357.0,375.0,35.0,145.0,217.0,2012
8,9,Brent Clevlen\clevlbr01,Arizona Diamondbacks,PHI,28,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,2012
9,10,Johnny Damon\damonjo01,Cleveland Indians,TBR,38,9.6,17,2426.0,9529.0,1643.0,2723.0,231.0,1120.0,404.0,986.0,0.28600000000000003,0.353,0.435,0.789,,,,,,,,,,,,,2012
